Babington,Babbingeton,Babyngton,Bavington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacchus,backus,Baccus,Bakehouse,Bachus,Backas,Backes,Backhinse,Backhous,Backhouse,Backhurst,Bakas,Bakhouse,Beckhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor,Batchler,Batcheldor,Batcheler,Batchelor,Batchlor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backe,back,Beck,Becke,Beke,Backie,Balk,Baulke,baulk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backworth,Backwarde,Beckwith,Bekeworth,beckworth,backwith,Backrath,Backward,Backwoorthe,Bagworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchanan,Backahanan,Backwhanan,Bacanan,Bewcannon,Bloucanen,Bloucannen,Blowcanen,Bouchanan,Bucannon,Bucanon,Buccanan,Buccannan,Buccannon,Buchanah,Buchanhan,Buchannan,Buchannen,Buchanner,Buchannon,Buchanon,Buckanan,Buckannan,Buckhanan,Buckhannan,Buckhannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchan,Buckan,Buckarn,Buckham,Buckhan,Buckin,Buckins,Buckon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,Bakon,Backan,Backen,Backon,Backone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailes,Baills,Bailles,Bayles,Bails,Bales,Bayls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailie,Baylie,Bayley,Baylay,Bayly,Baylyay,Baylye,Baylzay,Balie,Bailiff,Baylif,Bayliffe,Balife,Bailife,Belly,Billie,Billye,Byllie,Byllye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bainbridge,Bainbrigg,Bainbrige,Bainbrigge,Bainebrigg,Bainbrydge,Bainebrige,Bainbrig,Bambrig,Baimbridg,Baimbrig,Baimbrige,Baimbrigg,Bambridg,Bambridge,Bambrige,Banbrigge,Bambrigg,Bannbrige,Baynbridge,Baynbrydge,Baynbryge,Baynebrige,Banbrig,Banbrydge,Baynbrige,Baynbryg,Baynbrygge,Baynebrege,Baynbrek,Baynbrick,Banbryke,Baynbryke,Banbrege,Bainbrick,Bainbricke,Bambredge,Bambrich,Bambrick,Bambricke,Bambrik,,,,,,,,,,,,,,
Baines,Bains,Baynes,Bayns,Banes,Baine,Bayness,Bayne,Bayiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baird,Bairde,Bayeard,bayard,beard,Bairde,Bairds,Bard,Bards,Bayerd,Bayord,Bayrd,Beiad,Beird,Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleasdale,Baisdaill,baisdale,Beasdale,Bleastell,Brysdale,Busdell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baister,baster,bastow,Baestter,Baseter,Bastter,Bayster,Bearster,Beaster,Beasters,Bester,Bister,Boaster,Boister,Bowester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,Baiker,Backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valvard,Balbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balford,Balfour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
