Habbishaw,Abershaw,Hubbishaw,Habbershaw,Habbershow,Habbeshaw,Habbishow,Habbshaw,Habershaw,Habishaw,Hobbleshaw,Hobshaw,Hubbershaw,Hubbishow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hackett,Ackett,Akitt,Ackitt,Ackett,Aget,Aikett,Aket,Akid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hackforth,Hacforth,Hackfurth,Hacfurthe,Hakforth,Hacksforth,Hawckforth,Haxforth,Acksforth,Axford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hackworth,Hackesweth,Hagworth,Hookworth,Hackwith,Accworth,Acksworth,Ackwith,Ackwood,Hackwood,Ackworth,Acworth,Aekworth,Arkworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haddock,Haddocke,Haddok,Hadock,Haddack,Haddacke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haddon,Hadon,Haden,Hadwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haddrick,Hadrick,Hadricke,Hatherick,Hatherwicke,Hadderwicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haggerston,Hagston,Hagstone,haggiston,haggison,Hogstone,Hugerstone,Huggerstone,Hugersone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hagthorp,Hagthrope,Hagthropp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haire,Haer,Hayre,hair,hare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hall,Halle,Haul,Haule,Haull,Hawl,Hawle,Hawll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halson,Hallson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamlton,Hamleton,Ammylton,Hambleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammel,Hamvell,Homell,Homelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampson,Hampston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand,Hann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handlay,Handlawe,handley,hanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansbrough,Hansbrougher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
