Lackenby,Lackenbie,Lackinbye,Lackenbe,Lakenbey,Leckenbee,Leckenbie,Leckenby,Lakenby,Lackinbie,,,,,,,,,,,,,,,,,,,,,,,,,,
Laidlaw,Ladler,Laidler,Ladlier,Liddler,Ladley,Ladlay,Ladlaye,Laidly,Ladlye,Laddlay,Laddley,Ladelay,Ladelaye,Ladeley,Ladely,Laudeley,,,,,,,,,,,,,,,,,,,
Laidman,Laidsman,Laidsmane,Laydsman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laing,Lainge,Laine,Laiynge,Layng,Laynge,Lang,Lange,Leygne,Leng,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakin,Laykin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Lambe,Lame,Lamme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambert,Lamberte,Lambertes,Lambart,Lamberd,Lambard,Labert,Lamber,Lambet,Lambt,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamberton,Lammerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambton,Lampton,Lamptonne,Lamton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamson,lampson,lambson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,Lancister,Langaster,Lankaster,Loncaster,Longaster,Longcaster,Lanchester,Lancashire,Lancashirea,Lancastire,Lancastle,Lanchaster,Landcastle,Langcaster,Langkesar,Lankaster,Loncester,Lonckister,Longkaster,Longkister,Lonkashire,Lonkinshire,Lonkishire,,,,,,,,,,,,
Land,Lande,Lawnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laneby,Lannib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langhorn,Langhorne,Longhorn,Longhorne,Langehorn,Langern,Langham,Langhorne,Langthorn,Langthorne,Longthorn,Longthorne,,,,,,,,,,,,,,,,,,,,,,,,
Langlands,Langland,Longland,Longlands,Langhland,Langlance,Langlin,Langling,Langlish,Laughlands,Longlance,Longlans,Longlends,Longlins,,,,,,,,,,,,,,,,,,,,,,
Langley,Langly,Langlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langstaff,Langstaffe,Langstafe,Langestaffe,Langstaf,Langstraf,Langstraff,Langstraffe,Longstaff,Longstaffe,Longstafe,Longestaffe,,,,,,,,,,,,,,,,,,,,,,,,
Langston,Langstonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langton,longton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanshear,Lanshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanton,lonton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassell,Lasselles,Lassells,lascelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latimer,Lattame,Lattymer,latimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauder,Lawder,lawther,Lowther,Louthar,Lother,Lowthas,Lowder,Looder,loader,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauderdale,Lawtherdale,Latherdale,Laudtherdale,Lautherdale,Lawtherdale,Leatherdale,Leatherday,Letherdale,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavell,lovell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverick,Laverock,Laverocke,Laverrooke,Lavarock,Lavocke,Lavorocke,Lavoroeke,Lavoroke,Lawerrocke,Laverooke,,,,,,,,,,,,,,,,,,,,,,,,,
Law,Lawe,Lawes,Laws,Lawys,Lawis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence,Laurance,Lawerence,Lawrannce,Lawrance,Lawrannc,Lawranc,Lowranc,Lowrance,Loran,Lorans,Lowren,lowerance,,,,,,,,,,,,,,,,,,,,,,,
Lawson,Lawsonn,Lawsonne,Lauson,Laweson,Lawsen,Lowson,Lowsonn,Lowsen,Loweson,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawton,lowton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lax,Laxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laybourne,Layborne,Labourne,Laborne,Labourn,Laborn,Laburn,Laburne,Leyburne,Labron,Laiborn,Laiborne,Leborne,Leburne,,,,,,,,,,,,,,,,,,,,,,
Layfield,Laifeild,Leffelde,Leyfelde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laynsby,Leyngsby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layton,Layghton,Laiton,Laton,Latonne,Lighton,Leighton,Lightton,Ligheton,Lyghton,Lyton,Lightharne,Lightharnes,Leaton,Leton,,,,,,,,,,,,,,,,,,,,,
Lazenby,Lazinby,Lazanbie,Lasenbie,Lasenby,Lasenbye,Lasinbie,Lasonbie,Laisonby,Lassenby,Lassyngby,Lasyngbye,Laizinby,Laysinbie,Lasimbie,Lasinbie,Lasinby,Lacenbye,Lacenbie,,,,,,,,,,,,,,,,,
Leach,Leache,Leatche,leech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
