Babington,Babbingeton,Babyngton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backwarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,Bakon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailes,Baills,Bailles,Bayles,Bails,Bales,Bayls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailie,Baylie,Bayley,Baylay,Bayly,Baylyay,Baylye,Baylzay,Balie,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailiff,Baylif,Bayliffe,Balife,Bailife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bainbridge,Bainbrigg,Bainbrige,Bainbrigge,Bainebrigg,Bainbrydge,Bainebrige,Bainbrig,Bambrig,Baimbridg,Baimbrig,Baimbrige,Baimbrigg,Bambridg,Bambridge,Bambrige,Banbrigge,Bambrigg,Bannbrige,Baynbridge,Baynbrydge,Baynbryge,Baynebrige,Banbrig,Banbrydge,Baynbrige,Baynbryg,Baynbrygge,Baynebrege,Baynbrek,Baynbrick,Banbryke,Baynbryke,Banbrege,Bainbrick,Bainbricke
Baines,Bains,Baynes,Bayns,Banes,Baine,Bayness,Bayne,Bayiens,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bairde,Bayeard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baisdaill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,Baiker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bambrough,Bambroughe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bambury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangtaile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banister,Bannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks,Bancks,Bankes,Banckes,Banke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bantrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barber,Barbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barehead,Buried,Bairhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barforth,Bawforth,Bawforthe,Bawfforthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bargate,Bargait,Barget,Bargett,Barket,Bergett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barker,Barkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barkus,Barchus,Barkas,Barkusse,Barcasse,Barcus,Barckes,Bargs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley,Barlye,Barlay,Barlaye,Barloe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnaby,Barnebie,Bornbye,Burnebye,Barnabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnafach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnard,Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnes,Barns,Barness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnet,Barnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnfather,Barnefather,Barneforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnwell,Bornwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barras,Barress,Barres,Barrese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrell,Barrall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow,Barrowes,Barraw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry,Barrye,Barrey,Barrie,Barray,Barye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barton,Bartonn,Bartton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartram,Bartrome,Berthram,Bartlam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barty,Bartys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barwick,Barwicke,Barwycke,Barwyke,Barricke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor,Batchler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates,Baytes,Bayts,Baites,Baetes,Baets,Baits,Beates,Baite,Bayte,,,,,,,,,,,,,,,,,,,,,,,,,,
Bateson,Baytson,Bayteson,Batsonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batey,Baytie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath,Bathie,Bayth,Bathe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batmanson,Batmayson,Batmaison,Baitmason,Batmeson,Battmison,Baytmason,Baytmayson,Betmanson,Betmeson,Betmison,Beatmason,Batman,Bathman,,,,,,,,,,,,,,,,,,,,,,
Battersby,Bawterbie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baughton ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawcocke,Bawcok,Bawcoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawhinney,Bawwhinney,Bawwynnye,Bawquenny,Bowhynie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawmes,Bawims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxter,Baxster,Backster,Baxterye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beadell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beadnall,Bednell,Bidnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beak,Beakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean,Beane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beanley,Beaneley,Beinley,Benlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearpark,Bearparke,Bearepark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beason,Beasinge,Beassinge,Beazinge,Beasinge,Beesing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaumont,Beamont,Beamong,Beomond,Bemond,Bement,Belmond,Beamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beck,Becke,Beke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckfield,Beckfeild,Beckfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckwith,Bekeworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beecroft,Becroft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford,Bedforde,Beadforth,Beadeforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlington,Bedlingeton,Bedlinton,Beddlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,Be,Bye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer,Beere,Beare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell,Beel,Bel,Belle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellamy,Bellamye,Bellemye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellasis,Belasis,Bellassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellerby,Bellerbye,Bellarby,Bellerbie,Bellarbie,Belerby,Belerbye,Bellerbee,Brellerbey,Bealbey,Belbye,Belbey,Bellanby,Bellenby,Bellanbee,Bellinbie,,,,,,,,,,,,,,,,,,,,
Bellingham,Bellinghame,Bellingam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellis,Bellisse,Belles,Bellice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benkel,Benkall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett,Bennet,Bennat,Benet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennison,Benneson,Bennyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bent,Bente,Bende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley,Bentleye,Bentlye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry,Berrye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berthick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick,Berreck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best,Beste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betson,Betsone,Betsonne,Bettson,Bettsone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bettement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betts,Bettes,Betes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betwas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverley,Baverly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewick,Bewicke,Bewike,Bewyck,Buick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bickley,Bycley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biddick,Biddicke,Bidicke,Biddocke,Beddick,Bedycke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biggins,Biggines,Biggyns,Bigins,Byggines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilby,Bilbye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billie,Billye,Byllie,Byllye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billingham,Billinghame,Bilingham,Byllingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billop,Billope,Billopp,Byllop,Byllope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilsbury,Bilsberye,Biliburie,Bilisburie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilton,Biltone,Biltonn,Billton,Byltone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binks,Binkes,Bincke,Binckes,Bynkes,Bynks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binley,Bindley,Byndley,Byndlawe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binton,Bynton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird,Birde,Byrd,Byrde,Burd,Burde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdsall,Bridsall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birkbeck,Birkebecke,Byrkbecke,Birtbeck,Birtbecke,Beirtbeike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birkett,Birkitt,Burkitt,Byrket,Byrkett,Buwkynt,Birkhead,Birkhed,Birckhead,Bearkhead,Byrkehead,,,,,,,,,,,,,,,,,,,,,,,,,
Birkhill,Birkell,Birckell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birkin,Birkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birks,Birkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birtfield,Birtfeild,Birtefealde,Birtefielde,Birtfeald,Birtfealde,Birtfelde,Byrtefealde,Byrtfealde,Byrtfeild,Byrtfielde,Byrttfeallde,,,,,,,,,,,,,,,,,,,,,,,,
Bisset,Byssent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bittleston,Bitleston,Bittelston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,Blacke,Blak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbeard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbird,Blakbord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackburn,Blackburne,Blackborn,Blackborne,Blackbourn,Blackbourne,Blackeborne,Blackebourne,Blakbourne,Blakeborne,Blakebourne,,,,,,,,,,,,,,,,,,,,,,,,,
Blackett,Blacket,Blackat,Blackatt,Blaket,Blakett,Blackard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackie,Blackye,Blakie,Blaky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackley,Blaykley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacklock,Blacklocke,Blackloke,Blaccklock,Blackelock,Blackeloke,Blaickelocke,Blaicklock,Blaicklocke,Blaicklocks,Blakclock,Blakelock,Blakelocke,Blaklock,Blaklocke,Blaklok,,,,,,,,,,,,,,,,,,,,
Blackman,Blaikman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackmantle,Blackmantell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackmore,Blackamore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackstone,Blakiston,Blakistone,Blaxton,Blaxtonn,Blaxston,Blaxstone,Blaxstonn,Blakeston,Blaxeton,Blaickstone,Blaickstonn,Blaixton,Blaykeston,Blaykestone,Blayxton,Blexton,Bluxton,,,,,,,,,,,,,,,,,,
Blackwell,Blakwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake,Blaick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blakey,Blakye,Blaikye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bland,Blande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blarton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blenkinsop,Blenkinsopp,Blenkinsoppe,Blenkynsopp,Blenkynsope,Bleinkensopp,Bleinkinsopp,Blenckinsopp,Blenckishop,Blenkensoppe,Blenkinship,Blenkinshop,Blenkinshopp,Blenkeshopp,Blenkesope,Blenkeship,Blenkeysope,Blenkesop,Blenkysope,Blankeshippe,Blankynson,Blinkeingshop,Blinkingshop,,,,,,,,,,,,,
Blessing,Blessinge,Blissing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bligh,Blyghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blirthorn,Blirthorne,Blyrthorne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blount,Blounte,Blownt,Blund,Blunt,Blunte,Bluntt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blyth,Blythe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blythman,Blythmane,Blythmann,Blytheman,Blithman,Blitherman,Blyman,Blymans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boatwright,Boatret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bode,Boade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodkin,Badkine,Badkinse,Bawdkin,Bawdking,Bawdkinge,Baudking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogg,Boge,Bogge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Boak,Boake,Boock,Booycke,Boycke,Boyke,Boyecke,Boocke,Booke,Bouck,Bouke,Bourke,Bowhocke,Bowhoke,Boyekes,Buke,Bowock,Bowick,Boke,,,,,,,,,,,,,,,,
Bola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldron,Bowldron,Bowieran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Boltone,Boulton,Boultonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonde,Bounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone,Bon,Boane,Boon,Bune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonner,Boner,Bonna,Bonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booth,Boothe,Bouth,Bouthe,Bouthie,Boothes,Bowth,Bowyth,Both,Bothe,Boyth,Buth,Buthe,,,,,,,,,,,,,,,,,,,,,,,
Bord,Boode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borobirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botcherby,Botcherbey,Bocherbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourne,Bourn,Borne,Born,Bowrne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boutflower,Boutflour,Boutflouer,Boutflore,Botflowre,Bowtflor,Bowtflowre,Butflower,Butflowr,Butflowre,,,,,,,,,,,,,,,,,,,,,,,,,,
Bovell,Bowvell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowbank,Bowbanke,Bowbanck,Bowbancke,Bowebancke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bower,Bawors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowery,Bowry,Bowrye,Bowre,Bowrrie,Bourye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowman,Boweman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bownas,Bonnas,Bonnass,Bawnes,Bawnesse,Bawenes,Bawenesse,Baunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowser,Bousser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowsie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowthmy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyes,Boys,Boyse,Boies,Bayes,Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boynton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brabant,Braband,Brabben,Brabbyn,Brabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracher,Brachaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brack,Bracke,Brake,Braike,Braick,Brackes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brackenburn,Brakenburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brackenbury,Brakenbury,Brakenburye,Brakenberry,Breckenbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brackett,Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braddock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradford,Bradeford,Bradforth,Bradforthe,Braidforth,Bradeforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradhead,Braidherd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley,Bradlie,Braidle,Braidley,Braydley,Braydlye,Braydeleye,Braydley,Breadley,Brodlay,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradshaw,Brandshaw,Brawshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradwood,Braydwood,Braydwode,Braydwod,Baydwode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brafferton,Brafertonn,Brafertone,Braffertonn,Bavrden,Brafferon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bramall,Bramal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch,Braunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand,Brande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandline,Branling,Branlinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brankston,Branckston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brantingham,Brantinghame,Brantingam,Brentingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brass,Brasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
