Dack,Dacke,,,,,,,,,,,,,,,,,,,
Dacre,Dacker,Daker,Dakers,Dacer,,,,,,,,,,,,,,,,
Dadgell,,,,,,,,,,,,,,,,,,,,
Dagg,Dagge,,,,,,,,,,,,,,,,,,,
Dagleish,Dagleash,Dagleashe,Daglease,Daggleache,Daglis,Dawdlesshe,,,,,,,,,,,,,,
Daintree,Dantree,,,,,,,,,,,,,,,,,,,
Dainty,Dayntie,,,,,,,,,,,,,,,,,,,
Dalamont,Dallamon,Dallimond,Dallimount,,,,,,,,,,,,,,,,,
Dale,Daile,Dayle,Dayll,Dailes,,,,,,,,,,,,,,,,
Dalley,,,,,,,,,,,,,,,,,,,,
Dallyn,,,,,,,,,,,,,,,,,,,,
Dalton,Daltone,Dawton,,,,,,,,,,,,,,,,,,
Daltrey,Dortrye,Dortrid,,,,,,,,,,,,,,,,,,
Dan,Danne,,,,,,,,,,,,,,,,,,,
Danbye,,,,,,,,,,,,,,,,,,,,
Dand,Dande,Daund,Dund,,,,,,,,,,,,,,,,,
Danethe,,,,,,,,,,,,,,,,,,,,
Daniell,Daniel,Danyell,,,,,,,,,,,,,,,,,,
Darke,,,,,,,,,,,,,,,,,,,,
Darley,Darlay,Darlie,,,,,,,,,,,,,,,,,,
Darling,Darlinge,Darlynge,,,,,,,,,,,,,,,,,,
Darlington,,,,,,,,,,,,,,,,,,,,
Darnell,Darnel,,,,,,,,,,,,,,,,,,,
Darneton,Darnetone,Darnton,Darntone,Darntonn,Danton,Darenton,Darentone,,,,,,,,,,,,,
Darnport,Damport,,,,,,,,,,,,,,,,,,,
Darren,Darin,,,,,,,,,,,,,,,,,,,
Darrow,Daroughe,Darewghe,,,,,,,,,,,,,,,,,,
Daventry,Davnetrye,Davntry,,,,,,,,,,,,,,,,,,
Davinson,Davingson,,,,,,,,,,,,,,,,,,,
Davis,,,,,,,,,,,,,,,,,,,,
Davison,Davisone,Davisonn,Davisonne,Davisson,Davissonne,Davson,Davason,Daveson,Davessonne,Davyesone,Davyson,Davysone,Dayveson,,,,,,,
Davy,Davie,Davye,Dayvie,Davys,,,,,,,,,,,,,,,,
Dawell,,,,,,,,,,,,,,,,,,,,
Dawkin,Dawcke,,,,,,,,,,,,,,,,,,,
Dawson,Dawsone,Dawsonn,Dawsonne,Dawesone,Dawsen,Dawcen,Dawsson,Docen,,,,,,,,,,,,
Day,Daye,Daie,,,,,,,,,,,,,,,,,,
Dean,Deanes,,,,,,,,,,,,,,,,,,,
Dearham,Deram,,,,,,,,,,,,,,,,,,,
Dearing,Dearehin,,,,,,,,,,,,,,,,,,,
Dearlove,,,,,,,,,,,,,,,,,,,,
Deaven,,,,,,,,,,,,,,,,,,,,
Deckham,Deckam,Deckame,,,,,,,,,,,,,,,,,,
Deighton,Dieghton,Dighton,Dightonn,Dyghton,Dyghtonn,,,,,,,,,,,,,,,
Denand,Dynnand,Dynnend,Dynnonde,,,,,,,,,,,,,,,,,
Denham,Denam,Denom,Deanam,Deanham,Deanhame,Deanhan,Deannam,Deenam,Deynham,Dynam,Deanhan,,,,,,,,,
Dening,Denhyng,Dennyng,Dennin,Denhyn,Denen,Dennan,Dennen,Dennyn,Denyn,Denyng,Denynge,Dennon,Dynane,Dynnan,Dynnyng,Dynnynge,,,,
Dennis,Deniss,Dennys,Dennisse,Denne,Dennes,Denness,,,,,,,,,,,,,,
Dennison,Dennyson,Denison,Deneson,Denneson,Denosone,,,,,,,,,,,,,,,
Dent,Dente,,,,,,,,,,,,,,,,,,,
Denton,Deynton,,,,,,,,,,,,,,,,,,,
Derby,Darbye,Darbie,,,,,,,,,,,,,,,,,,
Derbyshire,Dabishyre,,,,,,,,,,,,,,,,,,,
Dethick,Dethic,,,,,,,,,,,,,,,,,,,
Deven,,,,,,,,,,,,,,,,,,,,
Dewbury,Dewbery,,,,,,,,,,,,,,,,,,,
Dewer,Deuer,,,,,,,,,,,,,,,,,,,
Dick,Dyce,,,,,,,,,,,,,,,,,,,
Dicker,Dycker,Diker,,,,,,,,,,,,,,,,,,
Dickhame,,,,,,,,,,,,,,,,,,,,
Dickinson,Dickinsonne,Dickenson,Dickonson,Diconson,Dyckinsonne,Dyconson,Dickison,Dickisonn,Dickeson,Dickesonn,Dikeson,Dikisonn,Dickeyson,Dickingson,Dicison,Dickyson,Dyckeson,Dyckeyson,Dyckyson,Dykkyson
Dickon,Dicken,Dickin,Dickon,Dikon,Dyckon,Dickorne,Dicko,,,,,,,,,,,,,
