Faceby,Facebie,Fasebie,,,,,,,,,,,,,,,,,,,,,,
Fairbairn,Fairbarne,Fairebarne,,,,,,,,,,,,,,,,,,,,,,
Fairlamb,Fairlam,Fayrelama,,,,,,,,,,,,,,,,,,,,,,
Fairland,Fareland,,,,,,,,,,,,,,,,,,,,,,,
Fairless,Fairallers,Faireallers,Fairles,Farelas,Farelayes,Fareles,Fareless,Fareallers,Farlisse,Farrelas,Farles,Feralesse,Fereles,Ferelesse,Ferlesse,Ferraleyes,Ferrelesse,Fayrallars,Fayrallers,Fayreallers,Fayrhallers,Fayrhalles,Farralans,
Falcon,Fawcon,,,,,,,,,,,,,,,,,,,,,,,
Falkner,Fakner,Faulker,,,,,,,,,,,,,,,,,,,,,,
Fallowfield,Falowfield,Fallayfield,,,,,,,,,,,,,,,,,,,,,,
Falside,Fallowside,,,,,,,,,,,,,,,,,,,,,,,
Farbeck,Farbecke,Farbeke,Ferbeck,Ferbecke,Firbeck,Farbicke,Forbeck,Forberk,,,,,,,,,,,,,,,,
Farbridge,Farbrig,Farbrige,Farbrick,Farbricke,,,,,,,,,,,,,,,,,,,,
Fargrive,Forgive,Forgyve,Forgine,,,,,,,,,,,,,,,,,,,,,
Fargus,Farguest,Fargous,Farguyse,Farguys,,,,,,,,,,,,,,,,,,,,
Farley,Farly,Fareley,Fairlay,,,,,,,,,,,,,,,,,,,,,
Farmer,Farmher,,,,,,,,,,,,,,,,,,,,,,,
Farmery,Farmary,Farmirye,,,,,,,,,,,,,,,,,,,,,,
Farn,Farne,,,,,,,,,,,,,,,,,,,,,,,
Farniside,Farnisyd,Farnisyde,Farnysed,,,,,,,,,,,,,,,,,,,,,
Farrow,Farrowe,Farow,Farowe,Farra,Farrai,Farraie,Farrar,Farraw,Farrawe,Farray,Farrewe,Farrews,Farrie,Farris,Farro,Farroa,Farrows,Fairowe,Farry,Ferrar,Ferra,Ferrow,Ferrowe,Ferror
Fatherley,Fatherlaye,Fetherlawes,Faveley,,,,,,,,,,,,,,,,,,,,,
Fatkin,,,,,,,,,,,,,,,,,,,,,,,,
Fauke,,,,,,,,,,,,,,,,,,,,,,,,
Fawbert,,,,,,,,,,,,,,,,,,,,,,,,
Fawcett,Fawcet,Whawesett,Fawecet,Fawsett,Fauset,Forcett,,,,,,,,,,,,,,,,,,
Fawcus,Faucus,,,,,,,,,,,,,,,,,,,,,,,
Fawdon,Faldon,Fawedon,Fawden,Fadon,Fowden,,,,,,,,,,,,,,,,,,,
Fawell,Fowell,,,,,,,,,,,,,,,,,,,,,,,
Fawside,Fawsyde,Fawsyd,Fawsed,Fausyde,Fawcid,Fowsyde,Fawshed,,,,,,,,,,,,,,,,,
Fearne,,,,,,,,,,,,,,,,,,,,,,,,
Featherman,Fatherman,,,,,,,,,,,,,,,,,,,,,,,
Featherston,Featherstone,Fetherston,Fetherstone,Featherson,Fetherstonn,Fatherston,Fatherstone,Farterson,Federstonn,,,,,,,,,,,,,,,
Featherstonhaugh,Federstonhaugh,Fedderstonhawgh,Fatherstonhaugh,Fatherstonhawgh,,,,,,,,,,,,,,,,,,,,
Feetham,Featum,Fetam,Fetum,Fetome,Feta,,,,,,,,,,,,,,,,,,,
Feix,,,,,,,,,,,,,,,,,,,,,,,,
Fell,,,,,,,,,,,,,,,,,,,,,,,,
Felton,,,,,,,,,,,,,,,,,,,,,,,,
Fenney,Fennay,Fennie,Fenny,Fennye,,,,,,,,,,,,,,,,,,,,
Fenwick,Fenwicke,Fennecke,Fennick,Fennicke,Fennik,Fennyck,Fenecek,Fenick,Fenicke,,,,,,,,,,,,,,,
Ferraby,Faiebie,,,,,,,,,,,,,,,,,,,,,,,
Ferry,Ferrye,Ferrey,Ferrie,Ferie,Ferai,,,,,,,,,,,,,,,,,,,
Fetty,Fyttye,,,,,,,,,,,,,,,,,,,,,,,
Fidler,Fidlar,,,,,,,,,,,,,,,,,,,,,,,
Fieldhouse,Fieldus,,,,,,,,,,,,,,,,,,,,,,,
Fielding,Feilding,,,,,,,,,,,,,,,,,,,,,,,
Filton,,,,,,,,,,,,,,,,,,,,,,,,
Finch,Finche,Finsh,Finshe,Fynsh,,,,,,,,,,,,,,,,,,,,
Finkle,Fenkell,Fenkhill,,,,,,,,,,,,,,,,,,,,,,
Finlay,Findlay,Findley,Finlay,Finley,Finneley,Fenlay,Fyndley,Fynlay,Fynley,,,,,,,,,,,,,,,
Finn,,,,,,,,,,,,,,,,,,,,,,,,
Finney,Fynney,,,,,,,,,,,,,,,,,,,,,,,
Firbank,Farbanke,Furbance,,,,,,,,,,,,,,,,,,,,,,
Fish,Fysh,,,,,,,,,,,,,,,,,,,,,,,
Fishburn,Fishburne,Fichburn,Fishborn,Fishborne,Fishburns,Fishebowrne,Fyshborne,,,,,,,,,,,,,,,,,
Fisher,Fyscher,Fysher,Fyssher,,,,,,,,,,,,,,,,,,,,,
Fishhook,,,,,,,,,,,,,,,,,,,,,,,,
Fishwick,Fishwicke,Fishwik,Fyshwick,Fyshwik,,,,,,,,,,,,,,,,,,,,
Fitton,Fythune,,,,,,,,,,,,,,,,,,,,,,,
Flatt,Flatte,Flate,,,,,,,,,,,,,,,,,,,,,,
Fleck,,,,,,,,,,,,,,,,,,,,,,,,
Fleetham,Fleetam,Fleatham,Fletthame,,,,,,,,,,,,,,,,,,,,,
Fleming,Fleminge,Fleeming,Fleeminge,Fleman,Flemeng,Flemin,,,,,,,,,,,,,,,,,,
Fletcher,Flecher,,,,,,,,,,,,,,,,,,,,,,,
Flight,Flyght,,,,,,,,,,,,,,,,,,,,,,,
Flocket,Flokhet,,,,,,,,,,,,,,,,,,,,,,,
Flockton,,,,,,,,,,,,,,,,,,,,,,,,
Flond,,,,,,,,,,,,,,,,,,,,,,,,
Flood,Floud,Floudde,,,,,,,,,,,,,,,,,,,,,,
Floor,,,,,,,,,,,,,,,,,,,,,,,,
Flower,Flowre,Floure,,,,,,,,,,,,,,,,,,,,,,
