Gably,,,,,,,,,,,,,,,,,,,,
Gainford,Gaineford,Gainfurthe,Gainforthe,,,,,,,,,,,,,,,,,
Gainsay,Gaynsaye,,,,,,,,,,,,,,,,,,,
Gale,Gail,Gaile,Gaill,Gayle,Gayles,Gayll,Gaylle,Gaylles,,,,,,,,,,,,
Gall,Gaull,Gaulle,,,,,,,,,,,,,,,,,,
Galland,,,,,,,,,,,,,,,,,,,,
Galley,Gally,Gallye,,,,,,,,,,,,,,,,,,
Galilee,Gallilee,Galile,Galiley,Gallale,Gallalee,Gallaley,Gallaly,Gallalye,Gallele,Galleley,Gallelie,Gallely,Gallelye,Gallielley,Gallile,Galliley,Gallilie,Gallilye,Gallyleye,Galylee
Gallon,Gallen,,,,,,,,,,,,,,,,,,,
Galloway,Gallowaye,,,,,,,,,,,,,,,,,,,
Gamsby,Gamsbye,Gamsbey,Gamsbie,Gamb,Gambe,Gambye,Gamslye,Garmsbey,,,,,,,,,,,,
Gant,,,,,,,,,,,,,,,,,,,,
Garbutt,Garbat,Garbut,,,,,,,,,,,,,,,,,,
Gardner,,,,,,,,,,,,,,,,,,,,
Gare,Gaier,Gaire,Gayre,,,,,,,,,,,,,,,,,
Garforth,Garfoot,Garfat,,,,,,,,,,,,,,,,,,
Gargrave,Gargrife,Gragrife,,,,,,,,,,,,,,,,,,
Garmeson,Garmason,Garmanson,Garmisone,Garmisson,,,,,,,,,,,,,,,,
Garmonsway,Garmanswaie,Garminsway,Garmisway,,,,,,,,,,,,,,,,,
Garner,,,,,,,,,,,,,,,,,,,,
Garnet,Garnat,Garnett,Garnot,Garnyt,,,,,,,,,,,,,,,,
Garies,Garris,Garres,,,,,,,,,,,,,,,,,,
Garrett,Garret,,,,,,,,,,,,,,,,,,,
Garrington,Garyngtun,,,,,,,,,,,,,,,,,,,
Garry,Garrye,Garrie,Gary,Garye,Garrie,,,,,,,,,,,,,,,
Garston,Gaston,,,,,,,,,,,,,,,,,,,
Garth,Garthe,,,,,,,,,,,,,,,,,,,
Garthorne,Garthon,Gathorn,,,,,,,,,,,,,,,,,,
Garthwaite,Garthwait,Garthwhait,Garthwayte,Garwhait,Grathwaite,Grayswaite,Graythwaite,Grayrhwaite,,,,,,,,,,,,
Garthwood,,,,,,,,,,,,,,,,,,,,
Gass,Gas,Gasse,,,,,,,,,,,,,,,,,,
Gascoigne,Gascoine,Gascon,Gascoyne,Gasken,,,,,,,,,,,,,,,,
Gaskarth,Gaitskarthe,Gaskath,Gaskathe,,,,,,,,,,,,,,,,,
Gaskell,,,,,,,,,,,,,,,,,,,,
Gastall,Gastell,Gastel,Gastill,Garstall,Garstell,Grastell,,,,,,,,,,,,,,
Gates,Gailtes,Gaits,Gaytes,Gaites,,,,,,,,,,,,,,,,
