Lackenby,Lackenbie,Lackinbye,Lackenbe,Lakenbey,Leckenbee,Leckenbie,Leckenby,Lakenby,Lackinbie,,,,,,,,,,,,
Ladler,Laidler,Ladlier,Liddler,,,,,,,,,,,,,,,,,,
Ladley,Ladlay,Ladlaye,Laidly,Ladlye,Laddlay,Laddley,Ladelay,Ladelaye,Ladeley,Ladely,Laudeley,,,,,,,,,,
Laidman,Laidsman,Laidsmane,Laydsman,,,,,,,,,,,,,,,,,,
Laing,Lainge,Laine,Laiynge,Layng,Laynge,Lang,Lange,Leygne,,,,,,,,,,,,,
Lakin,Laykin,,,,,,,,,,,,,,,,,,,,
Lamb,Lambe,Lame,Lamme,,,,,,,,,,,,,,,,,,
Lambert,Lamberte,Lambertes,Lambart,Lamberd,Lambard,Labert,Lamber,Lambet,Lambt,,,,,,,,,,,,
Lamberton,Lammerton,,,,,,,,,,,,,,,,,,,,
Lambton,Lampton,Lamptonne,Lamton,,,,,,,,,,,,,,,,,,
Lamson,,,,,,,,,,,,,,,,,,,,,
Lancaster,Lancister,Langaster,Lankaster,Loncaster,Longaster,Longcaster,,,,,,,,,,,,,,,
Lanchester,,,,,,,,,,,,,,,,,,,,,
Land,Lande,Lawnd,,,,,,,,,,,,,,,,,,,
Landers,,,,,,,,,,,,,,,,,,,,,
Laneby,Lannib,,,,,,,,,,,,,,,,,,,,
Langhorn,Langhorne,,,,,,,,,,,,,,,,,,,,
Langlands,Langland,,,,,,,,,,,,,,,,,,,,
Langley,Langly,Langlay,,,,,,,,,,,,,,,,,,,
Langstaff,Langstaffe,Langstafe,Langestaffe,Langstaf,Langstraf,Langstraff,Langstraffe,,,,,,,,,,,,,,
Langston,Langstonn,,,,,,,,,,,,,,,,,,,,
Langton,,,,,,,,,,,,,,,,,,,,,
Lanshear,Lanshe,,,,,,,,,,,,,,,,,,,,
Lanton,,,,,,,,,,,,,,,,,,,,,
Lark,Laverock,Laverocke,Laverrooke,Lavarock,Lavocke,Lavorocke,Lavoroeke,Lavoroke,Lawerrocke,Laverooke,,,,,,,,,,,
Lasan,,,,,,,,,,,,,,,,,,,,,
Lassell,Lasselles,Lassells,,,,,,,,,,,,,,,,,,,
Latimer,Lattame,Lattymer,,,,,,,,,,,,,,,,,,,
Lauder,Lawder,,,,,,,,,,,,,,,,,,,,
Lavell,,,,,,,,,,,,,,,,,,,,,
Law,Lawe,Lawes,Laws,Lawys,Lawis,,,,,,,,,,,,,,,,
Lawey,,,,,,,,,,,,,,,,,,,,,
Lawrell,,,,,,,,,,,,,,,,,,,,,
Lawrence,Laurance,Lawerence,Lawrannce,Lawrance,Lawrannc,Lawranc,Lowranc,Lowrance,Loran,Lorans,Lowren,,,,,,,,,,
Lawson,Lawsonn,Lawsonne,Lauson,Laweson,Lawsen,Lowson,Lowsonn,Lowsen,Loweson,,,,,,,,,,,,
Lawton,,,,,,,,,,,,,,,,,,,,,
Lax,Laxe,,,,,,,,,,,,,,,,,,,,
Laybourne,Layborne,Labourne,Laborne,Labourn,Laborn,Laburn,Laburne,Leyburne,Labron,Laiborn,Laiborne,Leborne,Leburne,,,,,,,,
Laye,,,,,,,,,,,,,,,,,,,,,
Layfield,Laifeild,Leffelde,Leyfelde,,,,,,,,,,,,,,,,,,
Laynsby,Leyngsby,,,,,,,,,,,,,,,,,,,,
Layton,Layghton,Laiton,Laton,Latonne,Lighton,Leighton,Lightton,Ligheton,Lyghton,Lyton,Lightharne,Lightharnes,Leaton,Leton,,,,,,,
Lazenby,Lazinby,Lazanbie,Lasenbie,Lasenby,Lasenbye,Lasinbie,Lasonbie,Laisonby,Lassenby,Lassyngby,Lasyngbye,Laizinby,Laysinbie,Lasimbie,Lasinbie,Lasinby,Lacenbye,Lacenbie,,,
Leach,Leache,Leatche,,,,,,,,,,,,,,,,,,,
Leadbeater,Leadbetter,Leadebeater,Ledbeter,Lidbiter,,,,,,,,,,,,,,,,,
Leader,,,,,,,,,,,,,,,,,,,,,
