Oak,Oake,,,,,,,
Ogen,Ogene,,,,,,,
Ogle,Oggle,Ogell,Oggell,Oglle,Owgle,Ogles,,
Oglethorpe,Oglesthorp,,,,,,,
Oliphant,Olivant,,,,,,,
Oliver,Ollever,Ollivell,Olliver,Ollyver,Olver,Olever,Olyvell,Olyver
Onsenotte,,,,,,,,
Oram,,,,,,,,
Orbine,Orabyne,,,,,,,
Ord,Orde,Oard,Oarde,Ould,Ourd,Ourde,Owrde,
Orford,Orefeld,,,,,,,
Orgett,Oarget,Oorget,Oorged,,,,,
Orginsby,,,,,,,,
Orlen,,,,,,,,
Ormesby,Ornesby,,,,,,,
Orr,Orre,Ore,,,,,,
Orton,,,,,,,,
Osborne,Osbourne,Osbborne,,,,,,
Osen,Oson,,,,,,,
Ostle,Ostell,,,,,,,
Oswald,Oswold,Oswould,,,,,,
Ottrington,,,,,,,,
Ouston,Owston,,,,,,,
Ovington,Oventon,,,,,,,
Owen,Oweing,Owens,,,,,,
Owler,Owheler,,,,,,,
Owthwaite,Owtwhaite,,,,,,,
Oxcooll,,,,,,,,
Oxenard,Oxenheard,,,,,,,
Oxnett,Oxnet,,,,,,,
