Abraham,Abram,,,,,,,,,,,,,,,,,
Ackborne,Agborne,,,,,,,,,,,,,,,,,
Acroyd,Ackrode,Acred,,,,,,,,,,,,,,,,
Adamson,Adamsone,Adameson,Adamsonn,Addamson,Addamsone,Addamsonn,Ademson,Adimson,Adinson,,,,,,,,,
Addison,Addisonn,Adison,Adaston,Adston,Addasonn,Adstone,,,,,,,,,,,,
Addy,Addye,Addey,Adye,Addie,,,,,,,,,,,,,,
Adthie,Adthye,,,,,,,,,,,,,,,,,
Agglande,Agland,Agelande,Aglonbye,Aglebye,,,,,,,,,,,,,,
Agill,Aglle,,,,,,,,,,,,,,,,,
Ainsley,Ainsleye,Aynsley,Aynsleye,Aynslye,Aynslay,Ayneslaye,Ansley,Ansleye,Anslye,Anesley,Awnsley,,,,,,,
Airson,Airsone,Aireson,Ayreson,Ayresonne,Airesen,Airsom,Airsome,Arson,Airser,Heirson,Heireson,,,,,,,
Aislaby,Ayslaby,Ayslabye,Eislybe,,,,,,,,,,,,,,,
Akers,Ackers,Aker,,,,,,,,,,,,,,,,
Alcoke,Aldercok,,,,,,,,,,,,,,,,,
Alder,Auder,,,,,,,,,,,,,,,,,
Alderley,Aderlay,Awderley,,,,,,,,,,,,,,,,
Alderson,Awderson,,,,,,,,,,,,,,,,,
Aldwen,Awdwen,,,,,,,,,,,,,,,,,
Alexander,Alixander,Allexander,,,,,,,,,,,,,,,,
Allye,Ale,Alle,,,,,,,,,,,,,,,,
Allanson,Alanson,Allansonn,Allansonne,Allandson,Alenson,Allenson,Allinson,Allingson,Allinsonne,Allynson,Allonson,Allens,Allensone,,,,,
Allen,Allene,Alen,Allan,Allane,Allon,Alleyne,Allayn,Allanne,Allaine,Alland,,,,,,,,
Allison,Allisone,Alason,Aleson,Aleston,Alison,Allason,Allayson,Alleson,Allisonne,Allissone,Allyson,Alyson,,,,,,
Allmand,Almont,Awmond,Amond,Hawmont,,,,,,,,,,,,,,
Alwin,Alwinn,Alwaine,Alwyne,Alwen,Alwent,Alwente,Alwand,Alwaind,Alwyn,,,,,,,,,
Ambery,Ambry,Ambrye,Amebrye,,,,,,,,,,,,,,,
Amos,Ames,Amas,Amers,,,,,,,,,,,,,,,
Anderson,Andersone,Andersonn,Andersonne,Aunderson,,,,,,,,,,,,,,
Andrew,Andrewe,Andrews,Androwe,Androo,Andro,Andray,,,,,,,,,,,,
Angell,Anngell,Aingell,,,,,,,,,,,,,,,,
Angus,Anngas,Angwes,Agnus,,,,,,,,,,,,,,,
Annison,Anneson,,,,,,,,,,,,,,,,,
Appleby,Applebye,Applebie,Applebee,Applebe,Appelbie,Appelby,Appelbye,Appelby,Appelbey,Aplebie,Aplebey,Apleby,Aplebye,Appylby,Apelbe,Aplbe,Appellby,
Appleton,Appelton,Appeltonn,Apeltonn,,,,,,,,,,,,,,,
